Longitude,Latitude,Neighborhood,Sale_Price,Score_GrLivArea,Score_Overall_Cond,Score_GarageCars,Score_year_remod,Score_Year_Built,Total_Score
-93.64396,42.054514,Somerset,147000,5,3,5,5,5,4.6
-93.66996,42.01881,Edwards,137500,5,3,3,5,5,4.2
-93.670063,42.018813,Edwards,134000,5,3,3,5,5,4.2
-93.670039,42.018812,Edwards,130000,5,3,3,5,5,4.2
-93.669985,42.01881,Edwards,130000,5,3,3,5,5,4.2
-93.669924,42.018809,Edwards,130000,5,3,3,5,5,4.2
-93.644891,42.047642,Somerset,147400,3,3,3,5,5,3.8
-93.644891,42.047548,Somerset,146000,3,3,3,5,5,3.8
-93.644891,42.047571,Somerset,146000,3,3,3,5,5,3.8
-93.644891,42.047595,Somerset,144152,3,3,3,5,5,3.8
