Longitude,Latitude,Neighborhood,Sale_Price,Score_GrLivArea,Score_Overall_Cond,Score_GarageCars,Score_year_remod,Score_Year_Built,Total_Score
-93.64396,42.054514,Somerset,147000,5,3,5,5,5,4.6
-93.66996,42.01881,Edwards,137500,5,3,3,5,5,4.2
-93.670063,42.018813,Edwards,134000,5,3,3,5,5,4.2
-93.670039,42.018812,Edwards,130000,5,3,3,5,5,4.2
-93.669985,42.01881,Edwards,130000,5,3,3,5,5,4.2
-93.669924,42.018809,Edwards,130000,5,3,3,5,5,4.2
-93.607058,42.027227,Old_Town,146500,4,4,5,5,2,4.0
-93.622312,42.042114,North_Ames,145000,5,3,3,5,4,4.0
-93.66798,42.026548,Clear_Creek,143000,4,4,3,5,4,4.0
-93.622644,42.035951,North_Ames,140000,5,4,3,5,3,4.0
