Longitude,Latitude,Neighborhood,Sale_Price,Score_GrLivArea,Score_Overall_Cond,Score_GarageCars,Score_year_remod,Score_Year_Built,Total_Score
-93.645743,42.009489,Blueste,121000,4,3,3,3,4,3.4
-93.645743,42.009489,Blueste,124000,4,3,3,3,4,3.4
-93.629851,42.051823,Briardale,118000,3,4,3,5,4,3.8
-93.629881,42.051822,Briardale,119500,4,4,3,2,4,3.4
-93.625589,42.033699,Brookside,106900,5,5,3,5,2,4.0
-93.623644,42.03246,Brookside,133000,5,4,3,4,3,3.8
-93.66798,42.026548,Clear_Creek,143000,4,4,3,5,4,4.0
-93.674402,42.023651,Clear_Creek,148400,4,3,3,3,4,3.4
-93.684954,42.019691,College_Creek,143500,3,4,3,4,4,3.6
-93.691213,42.01915,College_Creek,144000,2,3,3,5,5,3.6
-93.642821,42.019617,Crawford,149000,4,3,3,5,3,3.6
-93.643215,42.019952,Crawford,145000,5,3,5,1,3,3.4
-93.669924,42.018809,Edwards,130000,5,3,3,5,5,4.2
-93.669985,42.01881,Edwards,130000,5,3,3,5,5,4.2
-93.6225667,42.0586718,Gilbert,133000,4,3,3,1,3,2.8
-93.622299,42.059792,Gilbert,115000,5,1,3,1,3,2.6
-93.627459,42.021806,Iowa_DOT_and_Rail_Road,120000,3,4,3,5,3,3.6
-93.626631,42.025459,Iowa_DOT_and_Rail_Road,116500,4,4,3,5,2,3.6
-93.681378,42.021785,Landmark,137000,4,3,3,4,5,3.8
-93.603601,41.991883,Meadow_Village,105000,3,4,3,5,4,3.8
-93.604184,41.990899,Meadow_Village,129500,4,4,3,3,4,3.6
-93.608359,41.992193,Mitchell,115000,5,2,3,5,4,3.8
-93.606925,41.986509,Mitchell,130000,4,3,3,4,5,3.8
-93.622644,42.035951,North_Ames,140000,5,4,3,5,3,4.0
-93.622312,42.042114,North_Ames,145000,5,3,3,5,4,4.0
-93.625688,42.05009,Northpark_Villa,147000,4,3,3,3,4,3.4
-93.625696,42.050222,Northpark_Villa,138000,4,3,3,3,4,3.4
-93.631526,42.048762,Northwest_Ames,145000,3,4,3,5,4,3.8
-93.633748,42.045483,Northwest_Ames,136905,5,3,3,3,4,3.6
-93.607058,42.027227,Old_Town,146500,4,4,5,5,2,4.0
-93.6051157,42.0272703,Old_Town,110000,5,4,3,5,3,4.0
-93.65921,42.034561,Sawyer,130500,4,4,3,5,4,4.0
-93.660671,42.033557,Sawyer,112000,5,4,3,5,2,3.8
-93.6790969,42.0314606,Sawyer_West,142953,5,3,3,3,4,3.6
-93.679784,42.031545,Sawyer_West,118858,5,3,3,3,4,3.6
-93.64396,42.054514,Somerset,147000,5,3,5,5,5,4.6
-93.644891,42.047548,Somerset,146000,3,3,3,5,5,3.8
-93.651811,42.018837,South_and_West_of_Iowa_State_University,140000,4,3,3,5,3,3.6
-93.655762,42.022674,South_and_West_of_Iowa_State_University,104000,5,3,3,5,2,3.6
-93.634231,42.059599,Stone_Brook,130000,3,3,3,4,5,3.6
-93.64978,42.001246,Timberland,137500,4,3,3,1,4,3.0
